Date,Open,High,Low,Close,Adj Close,Volume
2019-12-23,329.500000,334.000000,329.500000,334.000000,328.163177,26639340
2019-12-24,334.000000,334.500000,332.000000,332.000000,326.198120,13488907
2019-12-25,332.000000,334.500000,331.000000,333.000000,327.180634,12262954
2019-12-26,333.000000,334.000000,331.500000,333.000000,327.180634,11427884
2019-12-27,335.000000,338.000000,335.000000,338.000000,332.093231,16677806
2019-12-30,338.000000,339.000000,334.000000,334.500000,328.654419,21531263
2019-12-31,331.000000,333.500000,331.000000,331.000000,325.215576,22890517
2020-01-02,332.500000,339.000000,332.500000,339.000000,333.075775,31754120
2020-01-03,344.000000,345.000000,335.500000,339.500000,333.567047,41811268
2020-01-06,333.000000,334.500000,332.000000,332.000000,326.198120,45343057
2020-01-07,332.500000,333.000000,326.500000,329.500000,323.741791,50879181
2020-01-08,325.000000,333.000000,325.000000,329.500000,323.741791,37567748
2020-01-09,335.000000,337.500000,333.500000,337.500000,331.601990,31481504
2020-01-10,340.500000,341.000000,336.000000,339.500000,333.567047,27032115
2020-01-13,342.000000,342.000000,339.000000,341.500000,335.532074,30663332
2020-01-14,345.500000,346.000000,344.500000,346.000000,339.953461,30223993
2020-01-15,345.000000,345.000000,337.500000,340.000000,334.058289,47434274
2020-01-16,330.000000,336.500000,330.000000,334.500000,328.654419,55211420
2020-01-17,334.000000,335.500000,332.000000,333.000000,327.180634,52060097
2020-01-20,334.000000,335.500000,333.000000,333.000000,327.180634,32658203
2020-01-30,326.000000,326.000000,316.500000,316.500000,310.968964,125451049
2020-01-31,323.000000,323.500000,319.000000,320.000000,314.407837,62526055
2020-02-03,315.000000,316.500000,312.000000,315.000000,309.495178,59560849
2020-02-04,336.500000,337.000000,325.000000,325.000000,319.320435,51890496
2020-02-05,329.000000,329.500000,324.500000,327.500000,321.776764,36601453
2020-02-06,329.500000,332.500000,329.000000,332.500000,326.689362,29267094
2020-02-07,330.000000,330.500000,326.000000,328.000000,322.268005,28798327
2020-02-10,321.500000,328.000000,321.000000,327.500000,321.776764,30632424
2020-02-11,330.500000,332.500000,330.000000,331.500000,325.706848,27524935
